county_state,num_hospitals,num_acute_care_hospitals,avg_acute_care_rating,median_acute_care_rating,pct_acute_care
"CHAUTAUQUA, NY",3,3.0,2.0,2.0,100.0
"LEHIGH, PA",3,3.0,3.5,3.5,100.0
"MIDDLESEX, CT",3,1.0,3.0,3.0,33.33
"PEORIA, IL",3,3.0,3.0,3.0,100.0
"LA SALLE, IL",3,2.0,3.5,3.5,66.67
"MAYAGUEZ, PR",3,3.0,,,100.0
"ROCKWALL, TX",2,2.0,3.0,3.0,100.0
"EVANGELINE, LA",2,2.0,3.5,3.5,100.0
"ELLIS, TX",2,2.0,4.0,4.0,100.0
"ELMORE, AL",2,2.0,3.5,3.5,100.0
"MONTGOMERY, TN",2,1.0,2.0,2.0,50.0
"MEDINA, OH",2,1.0,2.0,2.0,50.0
"SALINE, IL",2,1.0,2.0,2.0,50.0
"GRANT, IN",2,1.0,3.0,3.0,50.0
"ROGERS, OK",2,2.0,4.0,4.0,100.0
"GLYNN, GA",2,1.0,2.0,2.0,50.0
"MANATI, PR",2,2.0,2.0,2.0,100.0
"RUNNELS, TX",2,,,,
"MIDLAND, TX",2,1.0,2.0,2.0,50.0
"MERCED, CA",2,2.0,2.5,2.5,100.0
"MILLE LACS, MN",2,1.0,4.0,4.0,50.0
"ESCAMBIA, AL",2,2.0,3.0,3.0,100.0
"GOODHUE, MN",2,1.0,5.0,5.0,50.0
"GLACIER, MT",2,1.0,,,50.0
"ROLETTE, ND",2,1.0,,,50.0
"MILAM, TX",2,1.0,,,50.0
"MERCER, WV",2,2.0,2.5,2.5,100.0
"MANITOWOC, WI",2,2.0,4.5,4.5,100.0
"SALEM, NJ",2,2.0,3.0,3.0,100.0
"SHEBOYGAN, WI",2,2.0,4.5,4.5,100.0
"MILLARD, UT",2,,,,
"SALINE, AR",2,1.0,1.0,1.0,50.0
"SALINE, KS",2,2.0,4.0,4.0,100.0
"FAYETTE, IA",2,,,,
"SALINE, MO",2,1.0,3.0,3.0,50.0
"SANDUSKY, OH",2,2.0,4.0,4.0,100.0
"MARQUETTE, MI",2,1.0,2.0,2.0,50.0
"FLOYD, IN",2,2.0,4.0,4.0,100.0
"MISSOULA, MT",2,2.0,4.5,4.5,100.0
"MC CRACKEN, KY",2,2.0,3.0,3.0,100.0
"SANPETE, UT",2,,,,
"MONROE, WI",2,,,,
"MAURY, TN",2,1.0,3.0,3.0,50.0
"MATAGORDA, TX",2,1.0,3.0,3.0,50.0
"MONROE, PA",2,2.0,3.0,3.0,100.0
"MODOC, CA",2,,,,
"FRANKLIN, PA",2,2.0,4.0,4.0,100.0
"SCOTT, IA",2,2.0,2.5,2.5,100.0
"FORD, KS",2,1.0,2.0,2.0,50.0
"MONROE, MS",2,1.0,3.0,3.0,50.0
"FRANKLIN, NY",2,2.0,2.5,2.5,100.0
"MONONGALIA, WV",2,2.0,2.5,2.5,100.0
